stn;stnName;gemeinde;datenquelle;bfsId;koOsten;koNord;koLaenge;koBreite
ZGGRE;Greppen;Greppen;Gewässerschutzverband der Region Zugersee-Küssnachtersee-Ägerisee;1056;675282;212747;8°26';47°04'
ZELUZI;Zinggen;greppen;"Kanton Luzern; zentras";1056;645418;202081;8°02';46°58'
ZELUWK;Wikon;Wikon;"Kanton Luzern; zentras";1147;639947;234508;7°58';47°16'
ZELUWI;Wikon;Escholzmatt-Marbach;"Kanton Luzern; zentras";1010;636014;193238;7°55';46°53'
ZELUWE;Weggis;Weggis;"Kanton Luzern; zentras";1069;674923;210861;8°25';47°03'
ZELUVI;Vitznau;Vitznau;"Kanton Luzern; zentras";1068;679542;206692;8°29';47°00'
ZELUUM;Umfahrung Malters;Malters;"Kanton Luzern; zentras";1062;651827;210776;8°07';47°03'
ZELUUF;Ufhusen;Ufhusen;"Kanton Luzern; zentras";1145;633452;219521;7°53';47°08'
ZELUTR;Triengen;Triengen;"Kanton Luzern; zentras";1104;647678;233270;8°04';47°15'
ZELUTG;Trutigen;Neuenkirch;Bundesamt für Strassen;1093;659320;219681;8°13';47°08'
ZELUTB;Triechterbrücke;Schenkon;Bundesamt für Strassen;1099;652325;225021;8°08';47°10'
ZELUST;Stänglematten;Dagmersellen;Bundesamt für Strassen;1125;640780;229151;7°59';47°13'
ZELUSO;Sörenberg;Flühli;"Kanton Luzern; zentras";1004;644745;186215;8°02';46°50'
ZELUSM;Schüpfheim;Schüpfheim;"Kanton Luzern; zentras";1008;643956;197614;8°01';46°56'
ZELUSH;Schwanderholz;Werthenstein;"Kanton Luzern; zentras";1009;648438;208988;8°05';47°02'
ZELUSG;Schongau;Schongau;"Kanton Luzern; zentras";1041;661591;235470;8°15';47°16'
ZELUSC;Schlund;Kriens;Bundesamt für Strassen;1059;665329;207833;8°18';47°01'
ZELUSB;Schwarzenberg;Schwarzenberg;"Kanton Luzern; zentras";1066;655587;208155;8°10';47°01'
ZELURW;Roggliswil;Roggliswil;"Kanton Luzern; zentras";1142;633462;230139;7°53';47°13'
ZELURU;Ruswil;Ruswil;"Kanton Luzern; zentras";1098;654513;213594;8°09';47°04'
ZELURS;Rüeggisingerbrücke;Emmen;Bundesamt für Strassen;1024;664082;214922;8°17';47°05'
ZELURO;Rothenburg;Rothenburg;"Kanton Luzern; zentras";1040;662314;217586;8°16';47°06'
ZELURN;Rotbach Nationalstrasse;Emmen;Bundesamt für Strassen;1024;662434;214974;8°16';47°05'
ZELURK;Rotback Kantonsstrasse;Emmen;"Kanton Luzern; zentras";1024;662226;215127;8°15';47°05'
ZELURI;Rickenbach;Rickenbach (LU);"Kanton Luzern; zentras";1097;654622;229752;8°10';47°13'
ZELURB;Reussbrücke;Buchrain;Bundesamt für Strassen;1052;668541;216929;8°20';47°06'
ZELUOK;Oberkirch;Oberkirch;"Kanton Luzern; zentras";1095;650497;223510;8°06';47°10'
ZELUNK;Neuenkirch;Neuenkirch;"Kanton Luzern; zentras";1093;656583;218604;8°11';47°07'
ZELUMK;Meierskappel;Meierskappel;"Kanton Luzern; zentras";1064;674737;217873;8°25';47°06'
ZELUME;Menznau;Menznau;"Kanton Luzern; zentras";1136;644904;215445;8°02';47°05'
ZELUMB;Menzberg;Menznau;"Kanton Luzern; zentras";1136;642483;211214;7°60';47°03'
ZELULI;Littau;Luzern;"Kanton Luzern; zentras";1061;661816;210772;8°15';47°03'
ZELULE;Lehn;Escholzmatt-Marbach;"Kanton Luzern; zentras";1010;641325;198075;7°59';46°56'
ZELULB;Littauerboden;Malters;"Kanton Luzern; zentras";1062;661458;211526;8°15';47°03'
ZELUKW;Kottwil;Ettiswil;"Kanton Luzern; zentras";1128;646556;224189;8°03';47°10'
ZELUKH;Knutwilerhöhe;Knutwil;Bundesamt für Strassen;1089;648422;226640;8°05';47°11'
ZELUHW;Hergiswil;Hergiswil bei Willisau;"Kanton Luzern; zentras";1132;639708;215653;7°58';47°05'
ZELUHR;Hildisrieden;Hildisrieden;"Kanton Luzern; zentras";1088;659434;223061;8°13';47°09'
ZELUHE;Herlisberg;Beromünster;"Kanton Luzern; zentras";1081;659609;228186;8°14';47°12'
ZELUHB;Hämikon Berg;Hitzkirch;"Kanton Luzern; zentras";1030;665229;232749;8°18';47°15'
ZELUHA;Haltiwald N2;Horw;Bundesamt für Strassen;1058;666360;205789;8°19';46°60'
ZELUGI;Gisikon;Gisikon;"Kanton Luzern; zentras";1055;672600;220341;8°24';47°08'
ZELUGE;Gettnau;Willisau;"Kanton Luzern; zentras";1151;639385;220778;7°57';47°08'
ZELUGB;Grosshofbrücke;Kriens;Bundesamt für Strassen;1059;665110;209975;8°18';47°02'
ZELUFT;Fontannen / Romoos;Doppleschwand;"Kanton Luzern; zentras";1001;645527;207445;8°02';47°01'
ZELUEB;Eschenbach;Eschenbach (LU);"Kanton Luzern; zentras";1026;666845;221568;8°19';47°09'
ZELUBU;Buchs;Dagmersellen;"Kanton Luzern; zentras";1125;645598;228503;8°02';47°12'
ZELUBR;Buchrain;Buchrain;"Kanton Luzern; zentras";1052;669187;217068;8°21';47°06'
ZELUBH;Buttisholz;Buttisholz;"Kanton Luzern; zentras";1083;650676;219221;8°06';47°07'
ZELUBD;Bermudadreieck;Ebikon;Bundesamt für Strassen;1054;665175;213685;8°18';47°04'
ZELUAW;Alberswil;Alberswil;"Kanton Luzern; zentras";1121;642580;223048;8°00';47°09'
ZELUAE;Aesch;Aesch (LU);"Kanton Luzern; zentras";1021;660531;235073;8°14';47°16'
SPF;Schüpfheim;Schüpfheim;MeteoSchweiz;1008;643683;199710;8°01';46°57'
NABBRM;Bermünster;Beromünster;Bundesamt für Umwelt;1081;655842;226777;8°11';47°11'
MOA;Mosen;Hitzkirch;MeteoSchweiz;1030;660128;232852;8°14';47°15'
MMTRG;Triengen;Triengen;DTN Schweiz AG;1104;648430;230884;8°05';47°14'
LUZ;Luzern;Luzern;Kanton Luzern;1061;665543;209849;8°18';47°02'
LUWOL;Wolhusen;Wolhusen;Kanton Luzern;1107;648090;212490;8°04';47°04'
LUWIL;Willisau;Willisau;Kanton Luzern;1151;642650;220780;8°00';47°08'
LUSUR;Sursee;Sursee;Kanton Luzern;1103;649930;225040;8°06';47°10'
LUSEM;Sempach;Sempach;Kanton Luzern;1102;656880;219360;8°11';47°07'
LUSCH;Schüpfheim;Schüpfheim;Kanton Luzern;1008;644500;200940;8°01';46°57'
LUROO;Root;Root;Kanton Luzern;1065;672060;218910;8°23';47°07'
LUMAL;Malters;Malters;Kanton Luzern;1062;656760;210150;8°11';47°02'
LULAN;Langnau;Reiden;Kanton Luzern;1140;640360;231200;7°58';47°14'
LUHOC;Hochdorf;Hochdorf;Kanton Luzern;1031;663850;225520;8°17';47°11'
LUEMM;Emmen;Emmen;Kanton Luzern;1024;666800;215725;8°19';47°05'
INNRED;Reiden;Reiden;inNET Monitoring AG ;1140;639560;232110;7°58';47°14'
INNLUZ;Luzern;Luzern;inNET Monitoring AG ;1061;665789;210898;8°18';47°03'
INNEBI;Ebikon;Ebikon;inNET Monitoring AG ;1054;665478;213381;8°18';47°04'
FLU;Flühli;Flühli;MeteoSchweiz;1004;644332;193311;8°01';46°53'
ENT;Entlebuch;Entlebuch;MeteoSchweiz;1002;647935;204165;8°04';46°59'
EMM;Emmen;Emmen;Schweizer Armee - Luftwaffe;1024;665102;215165;8°18';47°05'
EGO;Egolzwil;Egolzwil;MeteoSchweiz;1127;642912;225540;8°00';47°11'
BEMBE;Marbachegg;Escholzmatt-Marbach;Kanton Bern;1010;635550;186385;7°54';46°50'